"ID","lnB0_start","Th_start","Ea_start","Eh_start","lnB0","Th","Ea","Eh","r2","AIC","AICc","BIC","trait_name","consumer","habitat","stage"
1,-0.404124297842661,320.780153249716,-3.74166801669078,1.13953924570308,1.79762491950419,305.237532488033,0.375150770477704,2.2694855570985,0.999097300587379,1.08458076234846,Inf,-0.47766758791514,"net photosynthesis rate","pueraria lobata","terrestrial","leaf: 2 weeks past full extension"
2,2.67042182517984,279.844920228057,-11.095852310853,0.29393328577076,2.31084836351254,309.812110293621,0.079957478112221,2.40574407562333,0.99998451288501,-20.4441594027715,Inf,-22.0064077530351,"net photosynthesis rate","pueraria lobata","terrestrial","leaf: 2 weeks past full extension"
7,-0.011049585119448,350.171020366732,-2.25185916408545,0.0943556404106408,0.857999077182585,300.766615328503,0.136686134629738,2.62558583321131,0.986980021156271,-2.95358418456482,Inf,-4.51583253482842,"net photosynthesis rate","citrus limon","terrestrial","leaf"
8,4.7180524320739,323.052641376617,-3.00668611636981,0.238227231929031,2.71893247419242,314.289951458587,0.221611445776093,0.899151908874248,0.996090472333292,-4.2120036095829,9.12132972375043,-3.89423744286355,"net photosynthesis rate","gossypium barbadense","terrestrial","leaf"
10,1.06727996578444,255.914508111514,-2.85709542037779,0.903662246234124,1.91701988644089,307.364847539979,0.852908858919195,1.78010965661666,0.380114507272326,69.1462848609393,75.812951527606,70.7378659521328,"net photosynthesis rate","gossypium barbadense","terrestrial","leaf"
11,-4.015513187056,133.139906515564,-10.8258789089515,-0.632782859269037,-1.06642451097489,303.670085131372,0.588671135830969,1.77232747142986,0.920083580889338,-7.47704550076821,5.85628783256512,-7.15927933404887,"net photosynthesis rate","zostera marina","marine","leaf"
12,-7.41657523685442,284.687891307729,-7.82612680110808,1.00202215368665,-3.1181126245322,310.415390839529,0.717260283124061,1.68155831641335,0.832816844024216,-17.6085655766884,-4.27523224335506,-17.290799409969,"respiration rate","zostera marina","marine","leaf"
13,-2.54393679198591,130.66011224369,-2.77624049806459,0.411187730620753,3.65425982559201,319.383421865421,0.341503577967085,1.26750487126191,0.988513911520008,75.365518860052,79.8099633044965,77.9217481785131,"net photosynthesis rate","cenchrus ciliaris","terrestrial","youngest fully expanded leaf"
15,2.60625108467429,368.474418694768,-9.08987685865242,0.120843090455784,3.45753107377412,313.293425059038,0.300961330810176,1.0567601362451,0.956540584312541,72.6285197055153,76.264883341879,75.7188745944745,"net photosynthesis rate","calopogonium mucunoides","terrestrial","youngest fully expanded leaf"
16,-4.06630586694682,176.671830996627,-3.26458890637791,1.9842594709844,1.49344176684392,318.564062568119,0.586699072716717,0.694816216305879,0.978591158803032,48.849271187227,56.849271187227,50.0596115592032,"respiration rate","calopogonium mucunoides","terrestrial","youngest fully expanded leaf"
17,-3.51805147239296,285.187746307729,-8.13711863197151,0.622355652058994,0.759354786676965,310.487474137631,0.412369488569967,3.5607918496575,0.926314762572021,17.3422251528576,37.3422251528576,17.1258657490788,"net photosynthesis rate","collema tenax","terrestrial",NA
19,2.74608846334998,345.451597428079,-6.55148229389239,-0.372328206755542,1.05968945529623,299.940926014771,0.417556064808338,1.55279308444993,0.891742336523988,13.271888502787,33.271888502787,13.0555290990082,"net photosynthesis rate","psora cerebriformis","terrestrial",NA
21,1.99361078104216,209.251451773624,-2.48813541400152,0.220910186611068,1.15389928423861,286.13405175191,0.605210495913342,1.01371145631962,0.960719774954548,-10.3661981565646,9.6338018434354,-10.5825575603433,"net photosynthesis rate","diploschistes diacapsis","terrestrial",NA
22,-7.10871441724627,304.858638988669,-15.5879157975433,-0.552118392678541,-0.145076558246027,307.19559341763,0.629255211781233,0.847831932359786,0.998835936429251,-16.9391841069119,3.06081589308806,-17.1555435106907,"respiration rate","diploschistes diacapsis","terrestrial",NA
24,4.58117199300523,318.054970376618,-2.78884391613123,0.417520011445436,2.81374454235462,306.354265425612,0.392164913228184,1.20794742004225,0.982798025497584,25.1332796001006,45.1332796001006,24.9169201963218,"net photosynthesis rate","larrea tridentata","terrestrial","leaf"
25,-1.74330017100573,141.745429996627,-3.12677034378925,0.758658927807047,4.298459521234,306.518859234038,0.182614531550151,3.31483832316087,0.945176629002563,88.0025233698897,93.7168090841754,89.9421499690417,"gross photosynthesis rate","spinacia oleracea","terrestrial","chloroplast"
29,-5.97387882672978,319.968538765576,-3.83065287405741,-0.109355473976046,-3.60408519651281,306.932899624874,0.406782616662594,1.49331581514936,0.777701574417872,-45.9787588573191,-32.6454255239858,-45.6609926905997,"gross photosynthesis rate","cladophora glomerata","freshwater","algal inocula"
33,-0.91432221702037,209.185314773624,-2.00289895470729,0.738351713761475,-2.23158864444738,291.530567935477,0.871271498425592,3.38851076865198,1,-261.098336089416,-301.098336089416,-263.553158644937,"net photosynthesis rate","cladophora glomerata","freshwater","algal inocula"
35,-0.41930211559107,209.185314773624,-2.00417054113694,0.882984322340688,-1.73661416987553,292.864494653698,0.779912797381011,1.90810572951662,0.427240764644891,-12.0287597082723,1.30457362506102,-11.710993541553,"gross photosynthesis rate","cladophora glomerata","freshwater","algal inocula"
36,-0.110156303002102,200.590752581043,-5.66210908391284,0.75480653684594,-1.99306668267194,286.875897957296,0.789238446271922,1.34268973467235,0.325394639959396,-14.0798310027235,25.9201689972765,-14.9127931258113,"net photosynthesis rate","cladophora glomerata","freshwater","algal inocula"
