"ID","consumer","trait_name","B0start","T0","Tm","B0","AIC","BIC","habitat","location","stage"
3,"pocillopora damicornis","gross photosynthesis rate","0.165609554804034",-22.734607110801,36.9972425659413,0.000480121466946653,"-1.63789305566856","-0.427552683692376","marine","hawaii, usa","coral"
4,"pocillopora damicornis","gross photosynthesis rate","0.0046588586857715",12.6319641079207,35.4631106486848,0.00152093549429603,"-14.8435202909066","-15.0598796946853","marine","enewetak atoll, marshall islands","coral"
6,"pocillopora damicornis","respiration rate","0.0129479928805534",11.4064896167452,37.0557864859573,0.000257861285745596,"-24.2233326072973","-23.9055664405779","marine","enewetak atoll, marshall islands","coral"
10,"gossypium barbadense","net photosynthesis rate","0.241100036474783",4.8659697720096,42.6901890228261,0.0180117323051846,"67.4376147288671","69.0291958200606","terrestrial","arizona, usa","leaf"
11,"zostera marina","net photosynthesis rate","-0.000399911963848892",-8.70311070560896,33.6095649939373,0.000374481703258964,"-7.46400309217967","-7.14623692546032","marine","great harbor, woods hole, massachusetts, usa","leaf"
12,"zostera marina","respiration rate","-3.23674759355071e-05",6.22060938898592,32.2352295189214,0.000179759136694721,"-22.4491113708449","-22.1313452041256","marine","great harbor, woods hole, massachusetts, usa","leaf"
16,"calopogonium mucunoides","respiration rate","0.00495991609783555",-14.1867195007778,99.344003986091,0.00158199698448538,"45.5648349984409","46.7751753704171","terrestrial","queensland, australia","youngest fully expanded leaf"
17,"collema tenax","net photosynthesis rate","0.00116745719812556",-44.2977309431898,41.7742197876839,0.000723947416294935,"11.6256715571736","11.4093121533949","terrestrial","moab, utah, usa",NA
33,"cladophora glomerata","net photosynthesis rate","0.000913742073504027",-8.47417759519849,21.2641416679367,0.000183284694712477,"-22.0486753750114","-24.5034979305318","freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
34,"cladophora glomerata","respiration rate","-0.000210343767673563",-13.9833988842127,31.2299666612584,5.19203389636011e-05,"-25.5253660390519","-25.2075998723326","freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
43,"cladophora glomerata","respiration rate","-0.000120797031285735",-7.3008443821922,31.312133765543,0.000100944403336856,"-22.1268756527635","-21.8091094860441","freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
47,"cladophora glomerata","gross photosynthesis rate","-0.000290902728167993",36.8600329821926,29.6608907235507,-0.000277844948803924,"-17.6637222854172","-17.880081689196","freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
48,"cladophora glomerata","net photosynthesis rate","-0.000112556474929101",24.2989206764213,25.0000000106694,-0.000223832578269542,"-18.0007068665078","-19.5629552167714","freshwater","lake huron, harbor beach, michigan, usa","algal inocula"
87,"populus tremuloides","net photosynthesis rate","-0.046373931159148",5.16508942597369,28.170438431469,0.012322929856277,"18.6534380580507","17.0911897077871","terrestrial","northen minnesota, usa",NA
90,"larix laricina","net photosynthesis rate","0.0076947027843974",-25.5165386603474,33.4887217668296,0.00140214741515437,"17.9145785814651","16.3523302312015","terrestrial","northen minnesota, usa",NA
91,"larix laricina","net photosynthesis rate","0.0122805965280946",-22.4054396985886,33.2634029684312,0.00204221928880733,"22.6697971928678","21.1075488426042","terrestrial","northen minnesota, usa",NA
93,"pinus banksiana","net photosynthesis rate","0.0143732605999589",-4.93542589274761,33.2098421012758,0.00254573635147157,"13.4937108616689","11.9314625114053","terrestrial","northen minnesota, usa",NA
94,"picea mariana","net photosynthesis rate","0.0061485132791441",-16.6247289796779,32.1117277752996,0.00148009579827775,"7.81740261853322","6.25515426826962","terrestrial","northen minnesota, usa",NA
95,"picea mariana","net photosynthesis rate","0.0159182898911407",-9.85597091689264,30.7569812737992,0.00278472536131781,"19.7482997907042","18.1860514404406","terrestrial","northen minnesota, usa",NA
97,"populus tremuloides","net photosynthesis rate","-1.11472807075765",3.71661514159752,28.4858488948983,0.254292246268519,"48.7169267847203","47.1546784344567","terrestrial","northen minnesota, usa",NA
101,"larix laricina","net photosynthesis rate","0.450919499235385",-71.0913846094415,36.4197389439953,0.0105475326019586,"39.5306607234217","37.9684123731581","terrestrial","northen minnesota, usa",NA
103,"pinus banksiana","net photosynthesis rate","0.108558720688261",-44.2045385059466,35.7695917293611,0.0133065856380391,"42.9510868169672","41.3888384667036","terrestrial","northen minnesota, usa",NA
105,"picea mariana","net photosynthesis rate","0.400766777363018",-11.2641595122654,30.737738257739,0.0393812429945759,"42.4219824425201","40.8597340922565","terrestrial","northen minnesota, usa",NA
107,"glycine max","gross photosynthesis rate","0.0770181240994609",6.63195567418626,44.0657597194005,0.0278149834421174,"130.146856259259","133.924612175924","terrestrial","des moines, ia., usa","terminal leaflet of second trifoliate leaf (22 days after planting)"
108,"quercus canariensis","respiration rate","-0.0012422972398745",2.45816061192462,31.4911142149577,0.000778115647892671,"8.18098745700411","7.34802533391633","terrestrial","ain drahem, northern tunisia","mature current year leaves"
109,"quercus canariensis","net photosynthesis rate","-0.0157651214419437",-32.3470744047944,33.5698025364445,0.00393588123605623,"18.287846250559","17.4548841274712","terrestrial","ain drahem, northern tunisia","mature current year leaves"
114,"sphagnum warnstorfii","net photosynthesis rate","-0.00512884570089832",-53.7328217135429,31.7669983991509,0.000674374345549192,"5.38258428170466","5.16622487792592","terrestrial","philip smith mountains, alaska","upper shoot"
120,"nicotiana tabacum","net photosynthesis rate","-0.0202996717706738",-14.3049929869629,43.3519271236123,0.00332038712089788,"15.0649279715096","13.502679621246","terrestrial","beijing, china","Youngest fully expanded leaf"
